aX,aY,aZ,gX,gY,gZ
0.892,-0.152,0.595,-9.277,7.446,33.264
1.060,0.061,0.296,2.686,5.981,45.166
0.973,0.065,0.139,5.005,-4.150,11.841
0.881,0.029,0.083,6.958,-13.184,-8.606
0.831,0.001,0.010,4.028,-5.981,-2.625
0.872,0.003,-0.029,2.319,-8.301,5.615
0.964,0.006,0.017,-0.732,-9.033,5.554
0.972,-0.011,0.003,-3.540,-5.676,-0.732
0.953,-0.014,-0.021,-2.441,-2.808,-3.540
0.981,-0.015,-0.009,-4.761,-1.709,-2.747
0.989,-0.026,-0.003,-7.446,0.183,-3.906
0.993,-0.040,0.020,-0.610,0.305,-6.042
0.993,-0.026,0.001,2.930,-1.404,-8.850
0.978,-0.048,-0.012,0.183,-1.465,-13.611
0.949,-0.073,-0.006,2.808,-0.732,-10.986
0.943,-0.054,-0.008,8.545,-0.183,-3.418
0.946,-0.061,-0.029,12.695,-1.465,-1.526
0.938,-0.052,-0.045,5.005,0.122,5.371
0.975,-0.029,-0.017,1.709,2.563,11.047
0.999,-0.012,-0.037,3.052,2.197,9.705
0.997,-0.014,-0.041,4.578,-2.563,1.709
0.975,-0.001,-0.042,0.610,-3.052,3.967
1.021,0.018,-0.030,-4.333,1.526,5.249
0.995,-0.014,-0.031,-4.272,1.343,-4.639
0.920,-0.051,-0.020,1.038,0.183,-6.836
0.909,-0.036,-0.036,1.465,-0.366,2.625
0.974,-0.019,-0.034,-1.648,-0.061,4.395
0.931,-0.045,-0.025,-1.038,-1.282,0.000
0.939,-0.042,-0.010,1.709,0.122,8.118
